ZIP,RegionID,SizeRank,RegionType,StateName,State,City,Metro,CountyName,home_value
1001,58196,7440,zip,MA,MA,Agawam,"Springfield, MA",Hampden County,251806.36
1002,58197,3911,zip,MA,MA,Amherst,"Springfield, MA",Hampshire County,391580.68
1005,58200,12819,zip,MA,MA,Barre,"Worcester, MA-CT",Worcester County,293752.74
1007,58201,7715,zip,MA,MA,Belchertown,"Springfield, MA",Hampshire County,346417.19
1008,58202,21871,zip,MA,MA,Blandford,"Springfield, MA",Hampden County,271328.84
1010,58204,13649,zip,MA,MA,Brimfield,"Springfield, MA",Hampden County,323017.05
1011,58205,21296,zip,MA,MA,Chester,"Springfield, MA",Hampden County,223559.86
1012,58206,26662,zip,MA,MA,Chesterfield,"Springfield, MA",Hampshire County,296428.91
1013,58207,5505,zip,MA,MA,Chicopee,"Springfield, MA",Hampden County,234967.49
1020,58209,3639,zip,MA,MA,Chicopee,"Springfield, MA",Hampden County,244165.65
1022,58211,16000,zip,MA,MA,Chicopee,"Springfield, MA",Hampden County,157520.45
1026,58212,22490,zip,MA,MA,Cummington,"Springfield, MA",Hampshire County,309719.78
1027,58213,6926,zip,MA,MA,Easthampton,"Springfield, MA",Hampshire County,320808.44
1028,58214,7300,zip,MA,MA,East Longmeadow,"Springfield, MA",Hampden County,319737.64
1030,58216,8688,zip,MA,MA,Agawam,"Springfield, MA",Hampden County,295078.0
1031,58217,24277,zip,MA,MA,Hardwick,"Worcester, MA-CT",Worcester County,288803.55
1032,58218,26323,zip,MA,MA,Goshen,"Springfield, MA",Hampshire County,280346.08
1033,58219,12255,zip,MA,MA,Granby,"Springfield, MA",Hampshire County,301967.95
1034,58220,18196,zip,MA,MA,Granville,"Springfield, MA",Hampden County,313341.48
1035,58221,12824,zip,MA,MA,Hadley,"Springfield, MA",Hampshire County,405639.48
1036,58222,13379,zip,MA,MA,Hampden,"Springfield, MA",Hampden County,322264.05
1037,58223,26643,zip,MA,MA,Hardwick,"Worcester, MA-CT",Worcester County,335765.32
1038,58224,17925,zip,MA,MA,Hatfield,"Springfield, MA",Hampshire County,386884.93
1039,58225,18503,zip,MA,MA,Whately,"Springfield, MA",Franklin County,359204.78
1040,58226,2077,zip,MA,MA,Holyoke,"Springfield, MA",Hampden County,247168.82
1050,58228,16767,zip,MA,MA,Huntington,"Springfield, MA",Hampshire County,273768.41
1053,58229,20095,zip,MA,MA,Northampton,"Springfield, MA",Hampshire County,341607.7
1054,58230,19653,zip,MA,MA,Leverett,"Springfield, MA",Franklin County,382354.27
1056,58231,5859,zip,MA,MA,Ludlow,"Springfield, MA",Hampden County,273668.22
1057,58232,10731,zip,MA,MA,Monson,"Springfield, MA",Hampden County,306512.52
1060,58234,7261,zip,MA,MA,Northampton,"Springfield, MA",Hampshire County,373778.65
1062,58236,9632,zip,MA,MA,Northampton,"Springfield, MA",Hampshire County,359146.36
1068,58239,20272,zip,MA,MA,Oakham,"Worcester, MA-CT",Worcester County,363153.39
1069,58240,9527,zip,MA,MA,Palmer,"Springfield, MA",Hampden County,244096.15
1070,58241,24637,zip,MA,MA,Plainfield,"Springfield, MA",Hampshire County,280138.75
1071,58242,21281,zip,MA,MA,Russell,"Springfield, MA",Hampden County,257696.76
1072,58243,20708,zip,MA,MA,Shutesbury,"Springfield, MA",Franklin County,320081.22
1073,58244,12227,zip,MA,MA,Southampton,"Springfield, MA",Hampshire County,372362.07
1075,58246,6755,zip,MA,MA,South Hadley,"Springfield, MA",Hampshire County,293640.87
1077,58247,10296,zip,MA,MA,Southwick,"Springfield, MA",Hampden County,305688.86
1080,58249,18927,zip,MA,MA,Palmer,"Springfield, MA",Hampden County,216011.16
1081,58250,19723,zip,MA,MA,Wales,"Springfield, MA",Hampden County,247241.65
1082,58251,8841,zip,MA,MA,Ware,"Springfield, MA",Hampshire County,263572.18
1083,58252,24924,zip,MA,MA,Warren,"Worcester, MA-CT",Worcester County,271805.2
1085,58254,1670,zip,MA,MA,Westfield,"Springfield, MA",Hampden County,282419.59
1089,58257,3928,zip,MA,MA,West Springfield,"Springfield, MA",Hampden County,266365.14
1093,58260,30490,zip,MA,MA,Whately,"Springfield, MA",Franklin County,384881.89
1095,58262,7862,zip,MA,MA,Wilbraham,"Springfield, MA",Hampden County,348588.71
1096,58263,18985,zip,MA,MA,Williamsburg,"Springfield, MA",Hampshire County,325831.19
1098,58265,24059,zip,MA,MA,Worthington,"Springfield, MA",Hampshire County,305934.46
1103,58268,17628,zip,MA,MA,Springfield,"Springfield, MA",Hampden County,79160.6
1104,58269,4738,zip,MA,MA,Springfield,"Springfield, MA",Hampden County,207900.17
1105,58270,8869,zip,MA,MA,Springfield,"Springfield, MA",Hampden County,171138.16
1106,58271,7417,zip,MA,MA,Longmeadow,"Springfield, MA",Hampden County,386791.61
1107,58272,9747,zip,MA,MA,Springfield,"Springfield, MA",Hampden County,223163.26
1108,58273,4460,zip,MA,MA,Springfield,"Springfield, MA",Hampden County,217137.5
1109,58274,3534,zip,MA,MA,Springfield,"Springfield, MA",Hampden County,193347.08
1118,58279,8066,zip,MA,MA,Springfield,"Springfield, MA",Hampden County,234540.21
1119,58280,8234,zip,MA,MA,Springfield,"Springfield, MA",Hampden County,221305.2
1128,58281,15439,zip,MA,MA,Springfield,"Springfield, MA",Hampden County,245249.75
1129,58282,11861,zip,MA,MA,Springfield,"Springfield, MA",Hampden County,228865.81
1151,58287,9977,zip,MA,MA,Springfield,"Springfield, MA",Hampden County,213872.58
1201,58291,1306,zip,MA,MA,Pittsfield,"Pittsfield, MA",Berkshire County,218110.63
1220,58294,10904,zip,MA,MA,Adams,"Pittsfield, MA",Berkshire County,176654.28
1222,58295,25557,zip,MA,MA,Sheffield,"Pittsfield, MA",Berkshire County,306196.84
1223,58296,17094,zip,MA,MA,Becket,"Pittsfield, MA",Berkshire County,278567.46
1225,58298,15831,zip,MA,MA,Cheshire,"Pittsfield, MA",Berkshire County,250791.48
1226,58299,12117,zip,MA,MA,Dalton,"Pittsfield, MA",Berkshire County,246809.68
1230,58302,10618,zip,MA,MA,Great Barrington,"Pittsfield, MA",Berkshire County,445661.61
1235,58303,16821,zip,MA,MA,Hinsdale,"Pittsfield, MA",Berkshire County,268530.03
1236,58304,23408,zip,MA,MA,Great Barrington,"Pittsfield, MA",Berkshire County,456165.12
1237,58305,18503,zip,MA,MA,Lanesboro,"Pittsfield, MA",Berkshire County,269989.93
1238,58306,12366,zip,MA,MA,Lee,"Pittsfield, MA",Berkshire County,303435.08
1240,58307,13140,zip,MA,MA,Lenox,"Pittsfield, MA",Berkshire County,417982.11
