ZIP,NatWalkInd,total_weight,block_group_rows
00601,4.193668,9812.552,8
00602,4.204497,11001,11
00603,4.447414,29944.914,41
00604,4.135266,1271.571,2
00605,4.648216,3254.055,3
00606,3.020047,6202,5
00610,3.93842,20233.891,16
00611,2.362235,4705.257,3
00612,4.107743,76258.338,87
00613,6.103281,814.575,5
00614,5.64172,1748.558,3
00616,3.974184,3889.866,7
00617,3.984205,28333.092,23
00623,3.563857,32947.969,22
00624,3.705642,12552.568,14
00627,3.935413,20546,11
00637,4.472413,17559.595,17
00638,3.346265,8057.098,8
00641,4.29127,13744.606,19
00646,4.313282,34784.737,36
00647,3.498584,4009.827,12
00650,3.185983,11701.617,24
00652,3.494682,3740.311,7
00653,5.459949,6409.12,10
00656,4.062009,10110.118,10
00659,3.728948,31680.404,36
00660,4.46164,9289.558,13
00662,3.642951,34293.013,30
00664,2.32216,6414,4
00667,3.304473,17461.579,16
00669,3.728721,6360,4
00670,2.544133,5778,5
00674,4.389065,35878.681,42
00676,3.468792,16330.828,13
00677,4.295767,2520,2
00678,3.607066,23673.176,13
00680,4.413859,36480.275,50
00681,6.822358,758.866,2
00682,4.156894,26303.02,33
00683,3.562055,26843.008,34
00685,3.64363,24859,16
00687,3.075453,23576.491,25
00688,1.994993,2868.244,2
00690,4.532959,4001.444,5
00692,3.832551,27335.03,27
00693,4.377278,49238.112,52
00694,5.209321,3518.219,4
00698,4.498563,37354.175,32
00703,3.098832,14804.09,14
00704,4.633522,3042.496,5
00705,3.414844,20049.311,16
00707,4.116728,8644,8
00714,5.2526,13144.898,11
00715,3.55749,3573.275,18
00716,5.643475,28831.764,72
00717,6.153879,14012.407,33
00718,3.325455,18972.806,11
00719,3.64838,12262.78,11
00720,3.296496,6398.548,8
00721,6.763484,1451.255,4
00723,3.32331,14256.993,13
00725,4.679773,77495.224,118
00726,6.521774,3417.123,6
00727,5.214226,39814.576,76
00728,5.188951,39779.963,57
00729,4.716889,45344.201,40
00730,5.174459,38622.858,87
00731,2.529994,3441.841,7
00732,5.896846,924.465,3
00733,7.333333,1508.788,3
00735,4.319431,7973.621,11
00736,4.009119,38141.677,31
00737,6.652557,1881.457,3
00738,4.48013,25962.164,30
00739,3.613415,31708.722,27
00740,5.656633,1873.803,8
00741,5.324522,4880,4
00744,2.518239,7292,4
00745,4.428511,38532.295,33
00751,4.686249,17117.321,21
00754,3.58683,26368.269,18
00757,4.127084,22453.775,17
00765,3.604226,8771,6
00766,3.498194,18518.623,16
00767,4.199473,14589.429,13
00769,3.614087,35635.106,21
00771,3.742555,13205.949,21
00772,4.982049,11197,9
00773,3.822429,15549.25,15
00777,3.679386,31085.389,27
00778,4.481802,22465.427,37
00780,3.49188,9548.335,15
00782,4.464543,6109.739,8
00783,3.486372,26699.401,18
00784,4.637439,42943.813,39
00785,7.333333,858.289,3
00791,3.720913,33943.845,26
00792,6.105797,2087.958,5
00794,3.251307,16209.887,15
00795,3.841021,44146.435,42
00801,5.734619,1010.696,2
00802,5.125246,30324.08,29
00803,5.734619,1217.573,2
00804,5.734619,387.651,2
00820,4.97509,14827.963,15
00830,2.513357,1435,3
00831,5.053991,2735,4
